base=17 width=4
---------------------------------
AC56-890G=2347, 2347+FEDB=11111
A906-85CG=2347, 2347+FEDB=11111
8C5A-690G=234B, 234B+FED7=11111
890A-65CG=234B, 234B+FED7=11111
6D07-49BG=2358, 2358+FECA=11111
9G64-7D0B=235A, 235A+FEC8=11111
D769-B40G=235A, 235A+FEC8=11111
A7G0-849C=2365, 2365+FEBD=11111
AC74-890G=2365, 2365+FEBD=11111
9C04-78AG=2365, 2365+FEBD=11111
9G04-7CA8=236D, 236D+FEB5=11111
980C-74AG=236D, 236D+FEB5=11111
D805-B49G=2376, 2376+FEAC=11111
C47B-A0G6=2385, 2385+FE9D=11111
6G50-4CDA=2387, 2387+FE9B=11111
C456-A0DG=2387, 2387+FE9B=11111
D7A5-B40G=2396, 2396+FE8C=11111
A045-7DBG=2396, 2396+FE8C=11111
BC04-986G=23A5, 23A5+FE7D=11111
8CB4-690G=23A5, 23A5+FE7D=11111
BG04-9C68=23AD, 23AD+FE75=11111
B80C-946G=23AD, 23AD+FE75=11111
9G04-7C5D=23B8, 23B8+FE6A=11111
AD06-894G=23C7, 23C7+FE5B=11111
A496-80DG=23C7, 23C7+FE5B=11111
8D0A-694G=23CB, 23CB+FE57=11111
904A-6D8G=23CB, 23CB+FE57=11111
849A-60DG=23CB, 23CB+FE57=11111
8G90-6C5A=2437, 2437+FDEB=11111
89G0-65CA=2437, 2437+FDEB=11111
AG90-8C56=243B, 243B+FDE7=11111
A9G0-85C6=243B, 243B+FDE7=11111
93E0-6G8A=2457, 2457+FDCB=11111
G7C0-E359=2468, 2468+FDBA=11111
5GE0-3C79=2468, 2468+FDBA=11111
G973-E50C=2468, 2468+FDBA=11111
C375-9G0E=2468, 2468+FDBA=11111
A3E0-7G5B=2486, 2486+FD9C=11111
5EG0-3A7B=2486, 2486+FD9C=11111
E536-C0AG=2497, 2497+FD8B=11111
G536-E0AC=249B, 249B+FD87=11111
G9B3-E508=24AC, 24AC+FD76=11111
83B9-5G0E=24AC, 24AC+FD76=11111
GB30-E679=24C8, 24C8+FD5A=11111
958G-70BA=24E6, 24E6+FD3C=11111
AG70-8B95=24EC, 24EC+FD36=11111
9G80-7BA5=24EC, 24EC+FD36=11111
A57B-809G=24EC, 24EC+FD36=11111
958B-70AG=24EC, 24EC+FD36=11111
6GD0-4B97=253A, 253A+FCE8=11111
time used: 0.006234
number of solutions: 1430

base=21 width=4
---------------------------------
9BA0-785F=2346, 2346+JIHG=11111
EBA0-C85F=2346, 2346+JIHG=11111
DCA0-B95F=2346, 2346+JIHG=11111
9EA0-7B5F=2346, 2346+JIHG=11111
B8C0-957F=2346, 2346+JIHG=11111
D8C0-B57F=2346, 2346+JIHG=11111
BDC0-9A7F=2346, 2346+JIHG=11111
AEC0-8B7F=2346, 2346+JIHG=11111
BAD0-978F=2346, 2346+JIHG=11111
EAD0-C78F=2346, 2346+JIHG=11111
7CD0-598F=2346, 2346+JIHG=11111
7ED0-5B8F=2346, 2346+JIHG=11111
9ED0-7B8F=2346, 2346+JIHG=11111
CED0-AB8F=2346, 2346+JIHG=11111
C8E0-A59F=2346, 2346+JIHG=11111
D8E0-B59F=2346, 2346+JIHG=11111
DAE0-B79F=2346, 2346+JIHG=11111
7BE0-589F=2346, 2346+JIHG=11111
CBE0-A89F=2346, 2346+JIHG=11111
7DE0-5A9F=2346, 2346+JIHG=11111
FACB-D785=2346, 2346+JIHG=11111
9DCB-7A85=2346, 2346+JIHG=11111
EADB-C795=2346, 2346+JIHG=11111
AFDB-8C95=2346, 2346+JIHG=11111
FCEB-D9A5=2346, 2346+JIHG=11111
9FEB-7CA5=2346, 2346+JIHG=11111
FBC5-D87K=2346, 2346+JIHG=11111
BDC5-9A7K=2346, 2346+JIHG=11111
AEC5-8B7K=2346, 2346+JIHG=11111
FEC5-DB7K=2346, 2346+JIHG=11111
BAD5-978K=2346, 2346+JIHG=11111
EAD5-C78K=2346, 2346+JIHG=11111
9ED5-7B8K=2346, 2346+JIHG=11111
CED5-AB8K=2346, 2346+JIHG=11111
9FD5-7C8K=2346, 2346+JIHG=11111
BFD5-9C8K=2346, 2346+JIHG=11111
DAE5-B79K=2346, 2346+JIHG=11111
FAE5-D79K=2346, 2346+JIHG=11111
CBE5-A89K=2346, 2346+JIHG=11111
FBE5-D89K=2346, 2346+JIHG=11111
AFE5-8C9K=2346, 2346+JIHG=11111
DFE5-BC9K=2346, 2346+JIHG=11111
9BF5-78AK=2346, 2346+JIHG=11111
EBF5-C8AK=2346, 2346+JIHG=11111
DCF5-B9AK=2346, 2346+JIHG=11111
9EF5-7BAK=2346, 2346+JIHG=11111
CB9D-A857=2346, 2346+JIHG=11111
EB9D-C857=2346, 2346+JIHG=11111
AE9D-8B57=2346, 2346+JIHG=11111
CE9D-AB57=2346, 2346+JIHG=11111
time used: 0.269357
number of solutions: 1595019

base=25 width=4
---------------------------------
9BA0-785J=2346, 2346+NMLK=11111
EBA0-C85J=2346, 2346+NMLK=11111
FBA0-D85J=2346, 2346+NMLK=11111
GBA0-E85J=2346, 2346+NMLK=11111
HBA0-F85J=2346, 2346+NMLK=11111
IBA0-G85J=2346, 2346+NMLK=11111
DCA0-B95J=2346, 2346+NMLK=11111
FCA0-D95J=2346, 2346+NMLK=11111
GCA0-E95J=2346, 2346+NMLK=11111
HCA0-F95J=2346, 2346+NMLK=11111
ICA0-G95J=2346, 2346+NMLK=11111
9EA0-7B5J=2346, 2346+NMLK=11111
FEA0-DB5J=2346, 2346+NMLK=11111
HEA0-FB5J=2346, 2346+NMLK=11111
IEA0-GB5J=2346, 2346+NMLK=11111
9FA0-7C5J=2346, 2346+NMLK=11111
BFA0-9C5J=2346, 2346+NMLK=11111
DFA0-BC5J=2346, 2346+NMLK=11111
GFA0-EC5J=2346, 2346+NMLK=11111
IFA0-GC5J=2346, 2346+NMLK=11111
9GA0-7D5J=2346, 2346+NMLK=11111
BGA0-9D5J=2346, 2346+NMLK=11111
EGA0-CD5J=2346, 2346+NMLK=11111
HGA0-FD5J=2346, 2346+NMLK=11111
9HA0-7E5J=2346, 2346+NMLK=11111
BHA0-9E5J=2346, 2346+NMLK=11111
DHA0-BE5J=2346, 2346+NMLK=11111
FHA0-DE5J=2346, 2346+NMLK=11111
IHA0-GE5J=2346, 2346+NMLK=11111
9IA0-7F5J=2346, 2346+NMLK=11111
BIA0-9F5J=2346, 2346+NMLK=11111
DIA0-BF5J=2346, 2346+NMLK=11111
EIA0-CF5J=2346, 2346+NMLK=11111
GIA0-EF5J=2346, 2346+NMLK=11111
B8C0-957J=2346, 2346+NMLK=11111
D8C0-B57J=2346, 2346+NMLK=11111
F8C0-D57J=2346, 2346+NMLK=11111
G8C0-E57J=2346, 2346+NMLK=11111
H8C0-F57J=2346, 2346+NMLK=11111
I8C0-G57J=2346, 2346+NMLK=11111
FBC0-D87J=2346, 2346+NMLK=11111
GBC0-E87J=2346, 2346+NMLK=11111
HBC0-F87J=2346, 2346+NMLK=11111
IBC0-G87J=2346, 2346+NMLK=11111
BDC0-9A7J=2346, 2346+NMLK=11111
GDC0-EA7J=2346, 2346+NMLK=11111
HDC0-FA7J=2346, 2346+NMLK=11111
IDC0-GA7J=2346, 2346+NMLK=11111
AEC0-8B7J=2346, 2346+NMLK=11111
FEC0-DB7J=2346, 2346+NMLK=11111
time used: 4.569552
number of solutions: 62811420

base=29 width=4
---------------------------------
9BA0-785N=2346, 2346+RQPO=11111
EBA0-C85N=2346, 2346+RQPO=11111
FBA0-D85N=2346, 2346+RQPO=11111
