RUNTIME: Dart VM version: 1.15.0 (Wed Mar  9 09:55:45 2016) on "macos_x64"
CPU: Intel(R) Core(TM) i7-4770HQ CPU @ 2.20GHz
NUMBER OF THREAD: 8

d805-b49g=2376, 2376+feac=11111
6gd0-4b97=253a, 253a+fce8=11111
9g46-7b0d=253a, 253a+fce8=11111
e9g0-c384=267d, 267d+fba5=11111
c3g0-9e84=267d, 267d+fba5=11111
6dg0-45ca=2837, 2837+f9eb=11111
cd46-a50g=2837, 2837+f9eb=11111
b953-8g0e=2a46, 2a46+f7dc=11111
ceg0-a374=2b8d, 2b8d+f695=11111
8gd0-649a=2c37, 2c37+f5eb=11111
6be0-3g97=2c4a, 2c4a+f5d8=11111
69g0-3eb7=2c4a, 2c4a+f5d8=11111
g340-d7e9=2c68, 2c68+f5ba=11111
6ce0-3g5a=2d87, 2d87+f49b=11111
9gc5-730e=2db8, 2db8+f46a=11111
cb04-986g=32a5, 32a5+ef7d=11111
bc04-896g=32a5, 32a5+ef7d=11111
c8b4-960g=32a5, 32a5+ef7d=11111
92g0-5f8b=3476, 3476+edac=11111
ab50-76cf=3492, 3492+ed8g=11111
f709-c25g=34ba, 34ba+ed68=11111
f529-c07g=34ba, 34ba+ed68=11111
b57g-809a=34f6, 34f6+ed2c=11111
gb70-d649=3528, 3528+ecfa=11111
7bg0-46d9=3528, 3528+ecfa=11111
d047-9af8=365g, 365g+ebc2=11111
d748-a0f9=365g, 365g+ebc2=11111
f75a-c098=36d2, 36d2+eb4g=11111
fa74-c20g=3865, 3865+e9bd=11111
gdf0-254b=e8a6, e8a6+397c=11111
gdb4-250f=e8a6, e8a6+397c=11111
g04f-c7a2=39bd, 39bd+e865=11111
7fda-460b=39cg, 39cg+e852=11111
g640-cd5a=39f7, 39f7+e82b=11111
ga4c-d065=39f7, 39f7+e82b=11111
c560-8b9f=3ad2, 3ad2+e74g=11111
9680-5cbf=3ad2, 3ad2+e74g=11111
fb58-c096=3ad2, 3ad2+e74g=11111
c650-89bf=3da2, 3da2+e47g=11111
9860-5bcf=3da2, 3da2+e47g=11111
bg90-82f5=3dac, 3dac+e476=11111
bag0-7c64=3f9d, 3f9d+e285=11111
g4a7-c60b=3f9d, 3f9d+e285=11111
b4ac-760g=3f9d, 3f9d+e285=11111
7gc0-3e59=4268, 4268+dfba=11111
g5e0-c379=4268, 4268+dfba=11111
9g73-5e0c=4268, 4268+dfba=11111
9gb3-5e08=42ac, 42ac+df76=11111
938b-50eg=42ac, 42ac+df76=11111
g5f0-c26a=4387, 4387+de9b=11111
result of base=17 width=4
time elapsed: 0.08948 sec
number of solution: 1430

gba0-e85c=2349, 2349+jihd=11111
8ea0-6b5c=2349, 2349+jihd=11111
g8b0-e56c=2349, 2349+jihd=11111
gab0-e76c=2349, 2349+jihd=11111
g8f0-e5ac=2349, 2349+jihd=11111
7bf0-58ac=2349, 2349+jihd=11111
gbf0-e8ac=2349, 2349+jihd=11111
7ef0-5bac=2349, 2349+jihd=11111
8ef0-6bac=2349, 2349+jihd=11111
8ag0-67bc=2349, 2349+jihd=11111
g8k0-e5fc=2349, 2349+jihd=11111
8ak0-67fc=2349, 2349+jihd=11111
gak0-e7fc=2349, 2349+jihd=11111
7bk0-58fc=2349, 2349+jihd=11111
gbk0-e8fc=2349, 2349+jihd=11111
7ek0-5bfc=2349, 2349+jihd=11111
8ek0-6bfc=2349, 2349+jihd=11111
aek0-8bfc=2349, 2349+jihd=11111
8fbe-6c75=2349, 2349+jihd=11111
afbe-8c75=2349, 2349+jihd=11111
8afe-67b5=2349, 2349+jihd=11111
8age-67c5=2349, 2349+jihd=11111
8ake-67g5=2349, 2349+jihd=11111
cbke-a8g5=2349, 2349+jihd=11111
8fke-6cg5=2349, 2349+jihd=11111
afke-8cg5=2349, 2349+jihd=11111
c8bf-a576=2349, 2349+jihd=11111
e8bf-c576=2349, 2349+jihd=11111
g8bf-e576=2349, 2349+jihd=11111
gacf-e786=2349, 2349+jihd=11111
7ecf-5b86=2349, 2349+jihd=11111
7bef-58a6=2349, 2349+jihd=11111
7bgf-58c6=2349, 2349+jihd=11111
7egf-5bc6=2349, 2349+jihd=11111
aegf-8bc6=2349, 2349+jihd=11111
c8kf-a5g6=2349, 2349+jihd=11111
e8kf-c5g6=2349, 2349+jihd=11111
eakf-c7g6=2349, 2349+jihd=11111
7bkf-58g6=2349, 2349+jihd=11111
cbkf-a8g6=2349, 2349+jihd=11111
ebkf-c8g6=2349, 2349+jihd=11111
7ekf-5bg6=2349, 2349+jihd=11111
aekf-8bg6=2349, 2349+jihd=11111
cekf-abg6=2349, 2349+jihd=11111
e8ag-c567=2349, 2349+jihd=11111
ebag-c867=2349, 2349+jihd=11111
8feg-6ca7=2349, 2349+jihd=11111
c8fg-a5b7=2349, 2349+jihd=11111
e8fg-c5b7=2349, 2349+jihd=11111
ea58-c70k=2349, 2349+jihd=11111
result of base=21 width=4
time elapsed: 0.167252 sec
number of solution: 1595019

i9a0-g65e=234b, 234b+nmlf=11111
j9a0-h65e=234b, 234b+nmlf=11111
k9a0-i65e=234b, 234b+nmlf=11111
8ca0-695e=234b, 234b+nmlf=11111
ica0-g95e=234b, 234b+nmlf=11111
jca0-h95e=234b, 234b+nmlf=11111
kca0-i95e=234b, 234b+nmlf=11111
8ga0-6d5e=234b, 234b+nmlf=11111
9ga0-7d5e=234b, 234b+nmlf=11111
jga0-hd5e=234b, 234b+nmlf=11111
kga0-id5e=234b, 234b+nmlf=11111
8ja0-6g5e=234b, 234b+nmlf=11111
9ja0-7g5e=234b, 234b+nmlf=11111
kja0-ig5e=234b, 234b+nmlf=11111
8ka0-6h5e=234b, 234b+nmlf=11111
9ka0-7h5e=234b, 234b+nmlf=11111
ika0-gh5e=234b, 234b+nmlf=11111
i8c0-g57e=234b, 234b+nmlf=11111
j8c0-h57e=234b, 234b+nmlf=11111
k8c0-i57e=234b, 234b+nmlf=11111
a9c0-867e=234b, 234b+nmlf=11111
i9c0-g67e=234b, 234b+nmlf=11111
j9c0-h67e=234b, 234b+nmlf=11111
k9c0-i67e=234b, 234b+nmlf=11111
8dc0-6a7e=234b, 234b+nmlf=11111
idc0-ga7e=234b, 234b+nmlf=11111
jdc0-ha7e=234b, 234b+nmlf=11111
kdc0-ia7e=234b, 234b+nmlf=11111
8gc0-6d7e=234b, 234b+nmlf=11111
agc0-8d7e=234b, 234b+nmlf=11111
jgc0-hd7e=234b, 234b+nmlf=11111
kgc0-id7e=234b, 234b+nmlf=11111
8jc0-6g7e=234b, 234b+nmlf=11111
ajc0-8g7e=234b, 234b+nmlf=11111
kjc0-ig7e=234b, 234b+nmlf=11111
8kc0-6h7e=234b, 234b+nmlf=11111
akc0-8h7e=234b, 234b+nmlf=11111
ikc0-gh7e=234b, 234b+nmlf=11111
79d0-568e=234b, 234b+nmlf=11111
c9d0-a68e=234b, 234b+nmlf=11111
i9d0-g68e=234b, 234b+nmlf=11111
j9d0-h68e=234b, 234b+nmlf=11111
k9d0-i68e=234b, 234b+nmlf=11111
iad0-g78e=234b, 234b+nmlf=11111
jad0-h78e=234b, 234b+nmlf=11111
kad0-i78e=234b, 234b+nmlf=11111
7cd0-598e=234b, 234b+nmlf=11111
icd0-g98e=234b, 234b+nmlf=11111
jcd0-h98e=234b, 234b+nmlf=11111
kcd0-i98e=234b, 234b+nmlf=11111
result of base=25 width=4
time elapsed: 1.701484 sec
number of solution: 62811420

e9a0-c65g=234d, 234d+rqph=11111
k9a0-i65g=234d, 234d+rqph=11111
l9a0-j65g=234d, 234d+rqph=11111
m9a0-k65g=234d, 234d+rqph=11111
n9a0-l65g=234d, 234d+rqph=11111
o9a0-m65g=234d, 234d+rqph=11111
9ba0-785g=234d, 234d+rqph=11111
eba0-c85g=234d, 234d+rqph=11111
kba0-i85g=234d, 234d+rqph=11111
lba0-j85g=234d, 234d+rqph=11111
mba0-k85g=234d, 234d+rqph=11111
nba0-l85g=234d, 234d+rqph=11111
oba0-m85g=234d, 234d+rqph=11111
8ca0-695g=234d, 234d+rqph=11111
kca0-i95g=234d, 234d+rqph=11111
lca0-j95g=234d, 234d+rqph=11111
mca0-k95g=234d, 234d+rqph=11111
nca0-l95g=234d, 234d+rqph=11111
oca0-m95g=234d, 234d+rqph=11111
8ea0-6b5g=234d, 234d+rqph=11111
9ea0-7b5g=234d, 234d+rqph=11111
kea0-ib5g=234d, 234d+rqph=11111
lea0-jb5g=234d, 234d+rqph=11111
mea0-kb5g=234d, 234d+rqph=11111
nea0-lb5g=234d, 234d+rqph=11111
oea0-mb5g=234d, 234d+rqph=11111
8fa0-6c5g=234d, 234d+rqph=11111
9fa0-7c5g=234d, 234d+rqph=11111
bfa0-9c5g=234d, 234d+rqph=11111
kfa0-ic5g=234d, 234d+rqph=11111
lfa0-jc5g=234d, 234d+rqph=11111
mfa0-kc5g=234d, 234d+rqph=11111
nfa0-lc5g=234d, 234d+rqph=11111
ofa0-mc5g=234d, 234d+rqph=11111
8ia0-6f5g=234d, 234d+rqph=11111
9ia0-7f5g=234d, 234d+rqph=11111
bia0-9f5g=234d, 234d+rqph=11111
eia0-cf5g=234d, 234d+rqph=11111
lia0-jf5g=234d, 234d+rqph=11111
mia0-kf5g=234d, 234d+rqph=11111
nia0-lf5g=234d, 234d+rqph=11111
oia0-mf5g=234d, 234d+rqph=11111
8la0-6i5g=234d, 234d+rqph=11111
9la0-7i5g=234d, 234d+rqph=11111
bla0-9i5g=234d, 234d+rqph=11111
ela0-ci5g=234d, 234d+rqph=11111
mla0-ki5g=234d, 234d+rqph=11111
ola0-mi5g=234d, 234d+rqph=11111
8ma0-6j5g=234d, 234d+rqph=11111
9ma0-7j5g=234d, 234d+rqph=11111
result of base=29 width=4
time elapsed: 14.341377 sec
number of solution: 796724927

